year,borough,community_board,count,avg,avg,avg
2010,BRONX,201,971,4322.0000000000000000,2704.5000000000000000,26.0303983228511530
2010,BRONX,202,989,4298.3333333333333333,,22.1642857142857143
2010,BRONX,203,1283,4253.3333333333333333,,22.6023437500000000
2010,BRONX,204,1382,4337.0000000000000000,,26.3026124818577649
2010,BRONX,205,1409,4286.8571428571428571,-78.0000000000000000,79.6860215053763441
2010,BRONX,206,1618,4354.8750000000000000,4438.0000000000000000,27.1782608695652174
2010,BRONX,207,1450,4409.0000000000000000,,17.8516978516978517
2010,BRONX,208,945,4306.8333333333333333,,13.4244372990353698
2010,BRONX,209,1888,4339.0000000000000000,-78.0000000000000000,17.7797969000534474
2010,BRONX,210,1680,4340.7142857142857143,62.0000000000000000,11.9585834333733493
2010,BRONX,211,2089,4270.1428571428571429,63.0000000000000000,14.4679518072289157
2010,BRONX,212,3559,4400.2000000000000000,62.0000000000000000,7.1595385481148002
2010,BRONX,228,1,,,1.00000000000000000000
2010,BRONX,401,328,,,2.6189024390243902
2010,BRONX,,23,4294.0588235294117647,,471.6666666666666667
2010,BROOKLYN,301,3751,4367.0588235294117647,1417.0000000000000000,26.4113551151580075
2010,BROOKLYN,302,1755,4335.2500000000000000,,15.4394721744119334
2010,BROOKLYN,303,3012,4326.1923076923076923,-78.0000000000000000,16.3168117883456129
2010,BROOKLYN,304,1814,4293.1250000000000000,1994.0000000000000000,18.6090100111234705
2010,BROOKLYN,305,3085,4309.8333333333333333,,8.0431958428061059
2010,BROOKLYN,306,2248,4282.6666666666666667,3916.0000000000000000,11.2090218847699866
2010,BROOKLYN,307,1688,4391.3333333333333333,,17.2106824925816024
2010,BROOKLYN,308,1526,4269.5000000000000000,,16.3309210526315789
2010,BROOKLYN,309,1079,4285.0000000000000000,,11.5088372093023256
2010,BROOKLYN,310,1966,4266.0000000000000000,,6.0631364562118126
2010,BROOKLYN,311,3176,4288.0000000000000000,,7.6232660781841110
2010,BROOKLYN,312,3503,4322.6111111111111111,4446.0000000000000000,10.7888091822094692
2010,BROOKLYN,313,1050,4236.6666666666666667,,5.7230181470869150
2010,BROOKLYN,314,2515,4375.5000000000000000,49.0000000000000000,7.7054603427660422
2010,BROOKLYN,315,3460,4290.8333333333333333,,7.2061378112333526
2010,BROOKLYN,316,1189,4396.0000000000000000,,8.1783601014370245
2010,BROOKLYN,317,2510,4320.5000000000000000,,3.9804625199362041
2010,BROOKLYN,318,4098,4359.8181818181818182,,23.2067531196476633
2010,BROOKLYN,355,3,4313.0000000000000000,,2.5000000000000000
2010,BROOKLYN,356,1,,,2.0000000000000000
2010,BROOKLYN,,28,4351.8666666666666667,,20.3846153846153846
2010,MANHATTAN,101,703,4329.1111111111111111,228.0000000000000000,18.2031700288184438
2010,MANHATTAN,102,2179,4321.2666666666666667,,15.5189463955637708
2010,MANHATTAN,103,3691,4394.9736842105263158,1035.0000000000000000,41.3230221735559814
2010,MANHATTAN,104,1457,4326.7000000000000000,,10.7311679336558397
2010,MANHATTAN,105,1262,4315.5555555555555556,,11.5810055865921788
2010,MANHATTAN,106,974,4254.6666666666666667,,6.1126033057851240
2010,MANHATTAN,107,1386,,,11.4256854256854257
2010,MANHATTAN,108,1717,4242.0000000000000000,,11.6565420560747664
2010,MANHATTAN,109,936,4280.2857142857142857,3300.5000000000000000,29.0661605206073753
2010,MANHATTAN,110,1354,4245.5000000000000000,,13.3248882265275708
2010,MANHATTAN,111,1057,4288.5000000000000000,-78.0000000000000000,16.6373205741626794
2010,MANHATTAN,112,2020,4317.6428571428571429,4449.0000000000000000,30.8868394815553340
2010,MANHATTAN,164,1,,,6.0000000000000000
2010,MANHATTAN,,22,4415.6000000000000000,,65.0588235294117647
2010,QUEENS,401,2940,4297.4062500000000000,3806.8333333333333333,38.2833562585969739
2010,QUEENS,402,2056,4323.1428571428571429,2926.0000000000000000,20.9772389905987135
2010,QUEENS,403,2825,4260.6666666666666667,,7.0141743444365698
2010,QUEENS,404,2116,4264.3333333333333333,,14.1658767772511848
2010,QUEENS,405,3191,4300.5000000000000000,4066.0000000000000000,9.0302743614001892
2010,QUEENS,406,1559,4276.5000000000000000,,5.2836012861736334
2010,QUEENS,407,3866,4343.2500000000000000,4424.5000000000000000,9.1259740259740260
2010,QUEENS,408,2961,4311.7500000000000000,,3.3769048425330173
2010,QUEENS,409,3262,4295.7500000000000000,,9.6282995702885206
2010,QUEENS,410,3336,4269.5000000000000000,,3.7635054021608643
2010,QUEENS,411,1965,4306.0000000000000000,,5.8370786516853933
2010,QUEENS,412,5309,4294.0000000000000000,,5.4293292913982569
2010,QUEENS,413,4877,4335.1666666666666667,,6.1745215064828154
2010,QUEENS,414,1809,4340.2500000000000000,1994.0000000000000000,7.2059966685174903
2010,QUEENS,481,2,,,0.50000000000000000000
2010,QUEENS,482,6,,,2.3333333333333333
2010,QUEENS,484,2,,,0.00000000000000000000
2010,QUEENS,,42,4281.1111111111111111,,321.2000000000000000
2010,STATEN ISLAND,501,4337,4316.1666666666666667,,5.1588547679519741
2010,STATEN ISLAND,502,3323,4287.5714285714285714,3261.0000000000000000,3.8151387213510253
2010,STATEN ISLAND,503,3922,4373.5000000000000000,3261.0000000000000000,4.2723328228688106
2010,STATEN ISLAND,595,16,,,1.6250000000000000
2010,STATEN ISLAND,,4,4279.5000000000000000,,8.0000000000000000
2010,Unspecified,,485,4333.9000000000000000,,10.7052631578947368
2010,,,533,,,1.8198874296435272
2011,BRONX,201,924,3916.1578947368421053,3217.5000000000000000,19.9683972911963883
2011,BRONX,202,909,3932.0930232558139535,3846.2000000000000000,17.2921478060046189
2011,BRONX,203,1061,3911.3600000000000000,3812.0000000000000000,11.5000000000000000
2011,BRONX,204,1063,3929.6060606060606061,3812.0000000000000000,10.0446601941747573
2011,BRONX,205,854,3876.6666666666666667,3812.0000000000000000,10.3076009501187648
2011,BRONX,206,1053,3910.4444444444444444,3799.8000000000000000,17.3372319688109162
2011,BRONX,207,1554,3979.0769230769230769,2836.7500000000000000,11.5438943894389439
2011,BRONX,208,938,3876.0000000000000000,,7.1985058697972252
2011,BRONX,209,2202,3921.7837837837837838,3812.0000000000000000,49.1501154734411085
2011,BRONX,210,1876,3903.2592592592592593,3804.5000000000000000,9.1065440778799351
2011,BRONX,211,2048,3955.3513513513513514,3829.0000000000000000,13.6797613127797116
2011,BRONX,212,3619,3964.8285714285714286,3918.0000000000000000,7.9151785714285714
2011,BRONX,226,4,,,2.7500000000000000
2011,BRONX,228,1,,,2.0000000000000000
2011,BRONX,401,307,,,2.7882736156351792
2011,BRONX,,46,3940.1750000000000000,,570.3333333333333333
2011,BROOKLYN,301,3420,3905.5569620253164557,3638.1538461538461538,15.1340915893445076
2011,BROOKLYN,302,1652,3960.1250000000000000,3790.0000000000000000,10.9107579462102689
2011,BROOKLYN,303,3322,3965.3421052631578947,3341.0000000000000000,11.2984165651644336
2011,BROOKLYN,304,1689,3926.5625000000000000,2515.3333333333333333,12.9013747758517633
2011,BROOKLYN,305,2971,3914.9411764705882353,3809.5555555555555556,8.9539607312119160
2011,BROOKLYN,306,2260,3957.9230769230769231,1867.0000000000000000,10.9385847797062750
2011,BROOKLYN,307,1722,3996.2000000000000000,3790.0000000000000000,11.6022392457277549
2011,BROOKLYN,308,1682,3919.0000000000000000,3261.0000000000000000,12.8977272727272727
2011,BROOKLYN,309,1146,3916.1666666666666667,3768.0000000000000000,12.4937943262411348
2011,BROOKLYN,310,2056,3958.1428571428571429,3771.0000000000000000,8.8823816495851635
2011,BROOKLYN,311,3408,3884.5454545454545455,3812.0000000000000000,8.3394171327642037
2011,BROOKLYN,312,3444,3918.3333333333333333,3801.0000000000000000,8.7019848219497957
2011,BROOKLYN,313,1040,4030.0000000000000000,,10.6015399422521655
2011,BROOKLYN,314,2536,3913.6666666666666667,3803.6666666666666667,10.0238284352660842
2011,BROOKLYN,315,3506,3956.3750000000000000,,8.7487135506003431
2011,BROOKLYN,316,1372,3878.9777777777777778,3812.0000000000000000,12.9012810851544838
2011,BROOKLYN,317,2778,3932.8181818181818182,3694.0000000000000000,6.6028189374774124
2011,BROOKLYN,318,3831,3972.8000000000000000,,6.8495158335514263
2011,BROOKLYN,355,3,,,126.0000000000000000
2011,BROOKLYN,356,2,,,7.0000000000000000
2011,BROOKLYN,,64,3929.5333333333333333,,133.4210526315789474
2011,MANHATTAN,101,533,4037.0000000000000000,,12.1240601503759398
2011,MANHATTAN,102,1759,3991.0400000000000000,,16.2226066897347174
2011,MANHATTAN,103,1853,4067.3750000000000000,1591.5000000000000000,18.4697876973326075
2011,MANHATTAN,104,1478,3944.7777777777777778,3779.0000000000000000,8.8032675289312457
2011,MANHATTAN,105,797,3964.6153846153846154,3870.0000000000000000,13.7971938775510204
2011,MANHATTAN,106,862,4032.6666666666666667,3812.0000000000000000,8.3061699650756694
2011,MANHATTAN,107,1309,4051.1111111111111111,,11.2638461538461538
2011,MANHATTAN,108,1687,3939.2142857142857143,3836.0000000000000000,13.4518828451882845
2011,MANHATTAN,109,768,4025.2105263157894737,,19.5380507343124166
2011,MANHATTAN,110,1512,4027.0312500000000000,-78.0000000000000000,15.9168918918918919
2011,MANHATTAN,111,841,4014.4615384615384615,2923.0000000000000000,18.7971014492753623
2011,MANHATTAN,112,1871,4051.7096774193548387,3812.0000000000000000,23.5326086956521739
2011,MANHATTAN,,13,3978.4444444444444444,,46.2500000000000000
2011,QUEENS,401,2587,3949.1000000000000000,3812.0000000000000000,10.9177337989910749
2011,QUEENS,402,2023,3939.4629629629629630,3838.5555555555555556,12.0350431691213814
2011,QUEENS,403,2504,3917.5681818181818182,3723.8571428571428571,17.9378048780487805
2011,QUEENS,404,2490,3919.9000000000000000,3795.9000000000000000,22.1196652719665272
2011,QUEENS,405,3147,4018.0000000000000000,,8.4226342710997442
2011,QUEENS,406,1450,3909.0000000000000000,,6.6205698401667825
2011,QUEENS,407,4403,3946.3544303797468354,3794.3333333333333333,9.6447733580018501
2011,QUEENS,408,2921,3950.8333333333333333,,6.3897084048027444
2011,QUEENS,409,2963,4022.5000000000000000,3829.0000000000000000,8.1189427312775330
2011,QUEENS,410,2964,4028.2500000000000000,2562.3333333333333333,6.8285907859078591
2011,QUEENS,411,2173,3982.0000000000000000,3946.6666666666666667,8.1219963031423290
2011,QUEENS,412,6590,3949.5833333333333333,3812.0000000000000000,7.3078443295834600
2011,QUEENS,413,4602,3960.2500000000000000,3751.0000000000000000,7.5596430126251633
2011,QUEENS,414,1537,3972.4285714285714286,3898.5000000000000000,7.2686274509803922
2011,QUEENS,480,2,,,8.0000000000000000
2011,QUEENS,481,1,,,35.0000000000000000
2011,QUEENS,482,8,,,1.1250000000000000
2011,QUEENS,,51,3959.6341463414634146,,215.1000000000000000
2011,STATEN ISLAND,501,4617,3917.4000000000000000,3829.7500000000000000,5.5823554976097349
2011,STATEN ISLAND,502,3667,3940.3750000000000000,,5.7920196775075157
2011,STATEN ISLAND,503,3820,3889.3333333333333333,3852.3333333333333333,5.1952243505641564
2011,STATEN ISLAND,595,5,,,3.8000000000000000
2011,STATEN ISLAND,,1,3810.0000000000000000,,
2011,Unspecified,,461,3986.3333333333333333,,9.1986899563318777
2011,,,320,,,2.0156250000000000
2012,BRONX,201,754,3564.5161290322580645,3070.6666666666666667,8.4204702627939142
2012,BRONX,202,785,3556.5432098765432099,3275.4000000000000000,24.6150568181818182
2012,BRONX,203,924,3520.4666666666666667,3443.0000000000000000,18.4425483503981797
2012,BRONX,204,815,3540.2121212121212121,3518.7777777777777778,11.3887468030690537
2012,BRONX,205,793,3559.6857142857142857,3010.1428571428571429,15.6873350923482850
2012,BRONX,206,983,3575.4888888888888889,3515.9166666666666667,12.0373134328358209
2012,BRONX,207,1262,3592.6923076923076923,3545.7500000000000000,13.2747342600163532
2012,BRONX,208,849,3574.4000000000000000,3555.0000000000000000,6.4207389749702026
2012,BRONX,209,1527,3654.4516129032258065,3596.5625000000000000,10.9399317406143345
2012,BRONX,210,1412,3625.8437500000000000,3589.3846153846153846,6.4855072463768116
2012,BRONX,211,1454,3569.3389830508474576,3246.5000000000000000,11.6487455197132616
2012,BRONX,212,2873,3556.4029850746268657,3494.0000000000000000,8.5730577334283678
2012,BRONX,226,5,,,7.0000000000000000
2012,BRONX,227,2,,,1.00000000000000000000
2012,BRONX,228,1,,,0.00000000000000000000
2012,BRONX,401,309,,,1.3398058252427184
2012,BRONX,,152,3556.4868421052631579,,
2012,BROOKLYN,301,3619,3581.6991150442477876,3520.2083333333333333,23.3245864232743868
2012,BROOKLYN,302,1701,3594.0882352941176471,3544.6666666666666667,10.3359328134373125
2012,BROOKLYN,303,3162,3568.9122807017543860,3466.6153846153846154,12.3887278582930757
2012,BROOKLYN,304,1529,3575.4000000000000000,3510.6666666666666667,14.6717305151915456
2012,BROOKLYN,305,2851,3653.8181818181818182,3460.5000000000000000,8.0376760563380282
2012,BROOKLYN,306,1863,3567.9393939393939394,3536.0769230769230769,14.6972677595628415
2012,BROOKLYN,307,1607,3562.2448979591836735,3349.1304347826086957,28.5815147625160462
2012,BROOKLYN,308,1595,3611.5000000000000000,3523.9000000000000000,12.8166772756206238
2012,BROOKLYN,309,1026,3586.0294117647058824,3546.5000000000000000,12.6350806451612903
2012,BROOKLYN,310,1838,3577.6153846153846154,3497.5555555555555556,11.8739726027397260
2012,BROOKLYN,311,2672,3577.2105263157894737,3530.8000000000000000,11.8699585375047116
2012,BROOKLYN,312,2917,3586.6101694915254237,3510.3500000000000000,13.1277116864940518
2012,BROOKLYN,313,961,3532.1111111111111111,3498.5000000000000000,11.1659663865546218
2012,BROOKLYN,314,2127,3612.1851851851851852,3521.7142857142857143,10.0980952380952381
2012,BROOKLYN,315,2818,3604.0000000000000000,3537.8333333333333333,10.6748663101604278
2012,BROOKLYN,316,1332,3530.6666666666666667,3542.7500000000000000,15.5414746543778802
2012,BROOKLYN,317,2581,3592.7105263157894737,3540.3750000000000000,11.0066850176956351
2012,BROOKLYN,318,3256,3598.1875000000000000,3555.3333333333333333,4.5996913580246914
2012,BROOKLYN,356,3,,,11.6666666666666667
2012,BROOKLYN,,153,3567.4797297297297297,,17.0000000000000000
2012,MANHATTAN,101,462,3571.0000000000000000,,11.9582417582417582
2012,MANHATTAN,102,1694,3624.5000000000000000,3404.4000000000000000,20.2246117084826762
2012,MANHATTAN,103,2122,3610.2666666666666667,3517.1250000000000000,27.6037284894837476
2012,MANHATTAN,104,1184,3658.2000000000000000,1729.5000000000000000,7.4241908006814310
2012,MANHATTAN,105,696,3549.5000000000000000,3452.5000000000000000,8.1315028901734104
2012,MANHATTAN,106,834,3525.0000000000000000,3388.6666666666666667,4.9746987951807229
2012,MANHATTAN,107,958,,,3.7682672233820459
2012,MANHATTAN,108,1185,3590.0000000000000000,3644.0000000000000000,7.5253807106598985
2012,MANHATTAN,109,573,3569.4285714285714286,3537.3333333333333333,9.9575971731448763
2012,MANHATTAN,110,1222,3633.0000000000000000,3461.0000000000000000,6.6677631578947368
2012,MANHATTAN,111,827,3541.2000000000000000,3497.0000000000000000,7.5559610705596107
2012,MANHATTAN,112,1412,3627.4666666666666667,3524.2857142857142857,7.3350035790980673
2012,MANHATTAN,208,10,3552.5000000000000000,3450.0000000000000000,98.1250000000000000
2012,MANHATTAN,,46,3617.8604651162790698,,73.3333333333333333
2012,QUEENS,401,2392,3594.4117647058823529,3556.7142857142857143,10.2789406236651004
2012,QUEENS,402,1765,3565.5822784810126582,3473.3888888888888889,15.8570581257413998
2012,QUEENS,403,2648,3605.6326530612244898,3214.0000000000000000,9.8872643324355521
2012,QUEENS,404,1659,3565.3857142857142857,3560.7142857142857143,13.0119572057898049
2012,QUEENS,405,2534,3607.3333333333333333,3555.2500000000000000,4.8026107594936709
2012,QUEENS,406,1070,3642.6000000000000000,,4.0112676056338028
2012,QUEENS,407,3532,3573.3736263736263736,3523.3333333333333333,6.7018308631211857
2012,QUEENS,408,2531,3585.8823529411764706,,7.2649164677804296
2012,QUEENS,409,2389,3578.3846153846153846,3499.5000000000000000,6.8066017774016081
2012,QUEENS,410,2129,3690.0000000000000000,,3.8260460742830277
2012,QUEENS,411,1546,3654.0000000000000000,3512.0000000000000000,4.9027867790019443
2012,QUEENS,412,5315,3566.1538461538461538,3487.5714285714285714,7.5530346001134430
2012,QUEENS,413,2933,3641.7500000000000000,3512.0000000000000000,5.2014339364970980
2012,QUEENS,414,1258,3584.1666666666666667,3512.2500000000000000,6.2699680511182109
2012,QUEENS,480,2,,,0.50000000000000000000
2012,QUEENS,482,6,,,3.8333333333333333
2012,QUEENS,484,2,,,3.5000000000000000
2012,QUEENS,,182,3559.7247191011235955,,229.7500000000000000
2012,STATEN ISLAND,501,3987,3586.0454545454545455,3524.7500000000000000,6.3451686533096627
2012,STATEN ISLAND,502,2871,3600.6875000000000000,3570.1111111111111111,4.6504378283712785
2012,STATEN ISLAND,503,2938,3630.3750000000000000,3570.8000000000000000,5.6355236139630390
2012,STATEN ISLAND,595,7,,,6.7142857142857143
2012,STATEN ISLAND,,23,3577.1875000000000000,,274.0000000000000000
2012,Unspecified,,181,,,4.0110497237569061
2012,,,301,,,1.5714285714285714
2013,BRONX,201,801,3279.9200000000000000,2166.5000000000000000,29.1920103092783505
2013,BRONX,202,721,3279.5636363636363636,3148.3333333333333333,36.3858858858858859
2013,BRONX,203,709,3242.6538461538461538,1640.2500000000000000,25.3631039531478770
2013,BRONX,204,864,3194.0000000000000000,3225.0000000000000000,18.0329024676850764
2013,BRONX,205,567,3204.0000000000000000,2923.0000000000000000,25.9732620320855615
2013,BRONX,206,1005,3267.9473684210526316,3242.6666666666666667,31.9803516028955533
2013,BRONX,207,1002,3332.8000000000000000,3310.0000000000000000,20.2532928064842958
2013,BRONX,208,733,3318.6666666666666667,2211.3333333333333333,13.6201657458563536
2013,BRONX,209,1514,3299.2978723404255319,3225.0000000000000000,23.4948875255623722
2013,BRONX,210,2083,3257.4375000000000000,2774.8000000000000000,16.0858117991223793
2013,BRONX,211,1445,3206.7241379310344828,2105.0000000000000000,18.9081920903954802
2013,BRONX,212,2609,3240.4791666666666667,1594.5000000000000000,13.1772745021475986
2013,BRONX,401,428,,,1.1565420560747664
2013,BRONX,,147,3226.0000000000000000,,5.9574468085106383
2013,BROOKLYN,301,3172,3244.6739130434782609,3242.0000000000000000,24.8944337811900192
2013,BROOKLYN,302,1715,3206.7142857142857143,3255.2500000000000000,17.8944872554831061
2013,BROOKLYN,303,3221,3225.2400000000000000,3206.4444444444444444,19.7928098391674551
2013,BROOKLYN,304,1854,3309.0909090909090909,3261.0000000000000000,21.5005458515283843
2013,BROOKLYN,305,3040,3167.7142857142857143,3225.0000000000000000,13.1190240685789647
2013,BROOKLYN,306,2049,3212.5000000000000000,,17.5922282341367437
2013,BROOKLYN,307,1520,3273.6000000000000000,2183.0000000000000000,33.6159468438538206
2013,BROOKLYN,308,1473,3203.1111111111111111,,21.5803757828810021
2013,BROOKLYN,309,1204,3252.4150943396226415,3089.0000000000000000,23.2172024326672459
2013,BROOKLYN,310,1503,3284.6666666666666667,2434.5000000000000000,22.5190380761523046
2013,BROOKLYN,311,2410,3305.1333333333333333,3244.6250000000000000,14.6851774530271399
2013,BROOKLYN,312,2784,3304.1923076923076923,3176.5000000000000000,15.5757795503988397
2013,BROOKLYN,313,1200,3330.8750000000000000,3225.0000000000000000,9.3313758389261745
2013,BROOKLYN,314,2012,3258.0000000000000000,-78.0000000000000000,14.7218045112781955
2013,BROOKLYN,315,2771,3178.5000000000000000,,7.3892302132273220
2013,BROOKLYN,316,1363,3254.2777777777777778,2089.6666666666666667,21.4717407686510927
2013,BROOKLYN,317,2748,3247.7777777777777778,,7.4841182913472070
2013,BROOKLYN,318,3307,3228.7500000000000000,3310.0000000000000000,5.0385432473444613
2013,BROOKLYN,355,4,,,5.2500000000000000
2013,BROOKLYN,356,3,,,5.3333333333333333
2013,BROOKLYN,,209,3241.7309941520467836,,5.8157894736842105
2013,MANHATTAN,101,535,3287.0000000000000000,,12.2940074906367041
2013,MANHATTAN,102,2063,3228.3846153846153846,2980.0000000000000000,27.4243902439024390
2013,MANHATTAN,103,2042,3210.1764705882352941,3024.5000000000000000,52.7524900398406375
2013,MANHATTAN,104,1481,,,12.2552329507089804
2013,MANHATTAN,105,899,3259.6666666666666667,,15.8872767857142857
2013,MANHATTAN,106,1067,3236.8333333333333333,2923.0000000000000000,13.2224316682375118
2013,MANHATTAN,107,1224,3159.3333333333333333,,11.0565110565110565
2013,MANHATTAN,108,1321,3163.0000000000000000,2923.0000000000000000,13.6009104704097117
2013,MANHATTAN,109,650,3233.8333333333333333,,15.2313664596273292
2013,MANHATTAN,110,1114,3094.0000000000000000,,15.2443845462713387
2013,MANHATTAN,111,948,3262.0000000000000000,,22.1339001062699256
2013,MANHATTAN,112,1437,3285.5000000000000000,,26.0792982456140351
2013,MANHATTAN,164,1,,,4.0000000000000000
2013,MANHATTAN,208,8,3394.0000000000000000,,28.8571428571428571
2013,MANHATTAN,,163,3234.2954545454545455,,3.8666666666666667
2013,QUEENS,401,2156,3176.1428571428571429,3142.1250000000000000,12.5564402810304450
2013,QUEENS,402,1353,3224.7027027027027027,3112.2222222222222222,16.2606382978723404
2013,QUEENS,403,2402,3291.0000000000000000,3074.3333333333333333,10.6973629133528673
2013,QUEENS,404,1318,3253.0000000000000000,3184.6000000000000000,13.4768518518518519
2013,QUEENS,405,2928,3233.2500000000000000,3174.4000000000000000,7.3223593964334705
2013,QUEENS,406,1119,3185.0000000000000000,,4.5801253357206804
2013,QUEENS,407,3685,3230.7808219178082192,3184.0000000000000000,11.8009413067552602
2013,QUEENS,408,2327,3219.4615384615384615,3113.6666666666666667,6.2852203975799481
2013,QUEENS,409,2766,3205.7692307692307692,3158.5000000000000000,9.5735561205957138
2013,QUEENS,410,2613,3167.2000000000000000,3081.5000000000000000,5.8623466257668712
2013,QUEENS,411,1700,3206.9166666666666667,3074.0000000000000000,6.8281990521327014
2013,QUEENS,412,6036,3273.1458333333333333,3236.4000000000000000,9.5709752839011356
2013,QUEENS,413,3056,3234.7500000000000000,3126.0000000000000000,6.7175622542595020
2013,QUEENS,414,1597,3332.8333333333333333,,5.2790697674418605
2013,QUEENS,480,2,,,21.0000000000000000
2013,QUEENS,481,1,,,6.0000000000000000
2013,QUEENS,482,3,,,1.6666666666666667
2013,QUEENS,484,3,,,2.6666666666666667
2013,QUEENS,,212,3247.7379679144385027,,1.6800000000000000
2013,STATEN ISLAND,501,4373,3298.1111111111111111,3037.0000000000000000,7.4580941446613088
2013,STATEN ISLAND,502,3207,3207.9090909090909091,3261.0000000000000000,6.7506257822277847
2013,STATEN ISLAND,503,3377,3179.5000000000000000,,5.3206763571640463
2013,STATEN ISLAND,595,4,,,3.7500000000000000
2013,STATEN ISLAND,,52,3231.5909090909090909,,16.5333333333333333
2013,Unspecified,,713,,,1.1570827489481066
2013,,,879,,,1.6609783845278726
2014,BRONX,201,1138,2859.5384615384615385,2737.3333333333333333,32.4494995450409463
2014,BRONX,202,624,2831.7500000000000000,2657.9090909090909091,34.2450331125827815
2014,BRONX,203,896,2803.7333333333333333,2704.5294117647058824,25.1316397228637413
2014,BRONX,204,1040,2827.1333333333333333,2730.0909090909090909,22.8772277227722772
2014,BRONX,205,760,2857.8500000000000000,2765.5000000000000000,22.4283783783783784
2014,BRONX,206,1109,2853.3783783783783784,2753.7391304347826087,24.6679104477611940
2014,BRONX,207,1278,2838.9500000000000000,2761.5185185185185185,25.9725363489499192
2014,BRONX,208,1056,2826.9677419354838710,2741.2857142857142857,16.0985365853658537
2014,BRONX,209,1952,2805.5555555555555556,2754.7777777777777778,17.6675324675324675
2014,BRONX,210,2952,2825.7333333333333333,2750.1176470588235294,17.8093771389459274
2014,BRONX,211,2136,2893.0652173913043478,2799.5294117647058824,17.6387559808612440
2014,BRONX,212,3288,2888.0312500000000000,2749.8571428571428571,13.5417690417690418
2014,BRONX,226,1,,,1.00000000000000000000
2014,BRONX,227,1,,,3.0000000000000000
2014,BRONX,228,1,,,3.0000000000000000
2014,BRONX,401,455,,,0.62197802197802197802
2014,BRONX,,264,2855.1623931623931624,2696.1428571428571429,54.3673469387755102
2014,BROOKLYN,301,4557,2816.1190476190476190,2766.0666666666666667,31.8104265402843602
2014,BROOKLYN,302,2297,2830.9473684210526316,2862.0000000000000000,18.7098214285714286
2014,BROOKLYN,303,3741,2838.4696969696969697,2700.2000000000000000,17.4944217687074830
2014,BROOKLYN,304,1905,2817.1250000000000000,2714.6666666666666667,19.2020202020202020
2014,BROOKLYN,305,3826,2837.7272727272727273,2807.0000000000000000,23.8716055892433430
2014,BROOKLYN,306,2386,2816.9743589743589744,2583.0000000000000000,15.0387729015764806
2014,BROOKLYN,307,2269,2827.9347826086956522,2707.2500000000000000,44.1097615834457940
2014,BROOKLYN,308,1798,2847.6052631578947368,2692.6666666666666667,14.3017045454545455
2014,BROOKLYN,309,1576,2913.2500000000000000,2923.0000000000000000,17.5109536082474227
2014,BROOKLYN,310,2524,2853.1666666666666667,2829.5000000000000000,24.2573471008737093
2014,BROOKLYN,311,3359,2873.4000000000000000,2733.0000000000000000,18.0532296650717703
2014,BROOKLYN,312,3743,2830.5333333333333333,2855.6000000000000000,19.9006194451925667
2014,BROOKLYN,313,1012,2832.2000000000000000,2726.0000000000000000,11.2115193644488580
2014,BROOKLYN,314,2915,2841.0000000000000000,2858.0000000000000000,12.5200831024930748
2014,BROOKLYN,315,3631,2831.0625000000000000,2831.0000000000000000,14.3056708160442600
2014,BROOKLYN,316,1363,2860.8125000000000000,2753.0000000000000000,22.7134372680029696
2014,BROOKLYN,317,3358,2838.2307692307692308,2671.6666666666666667,8.9147982062780269
2014,BROOKLYN,318,4162,2795.8571428571428571,2721.0000000000000000,7.0574267022049915
2014,BROOKLYN,355,3,,,4.3333333333333333
2014,BROOKLYN,356,2,,,6.5000000000000000
2014,BROOKLYN,,416,2836.7833333333333333,2699.0000000000000000,86.3238636363636364
2014,MANHATTAN,101,734,2854.0000000000000000,2833.8000000000000000,12.8608815426997245
2014,MANHATTAN,102,2091,2802.6500000000000000,2794.1250000000000000,20.3751846381093058
